Sale ID,Date,Order ID,Order,Product,Net sales,Payment type,Credit card,Credit card type,Billing country,Refunds,Net payments,returned_item_rate,product_type,sales_count
13087920095372,2022-06-01T05:55:27-04:00,4089814286476,#19176,buttertarts,22.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02301,pastry,368
13087920160908,2022-06-01T05:55:27-04:00,4089814286476,#19176,buttertarts,22.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02301,pastry,368
13087920193676,2022-06-01T05:55:27-04:00,4089814286476,#19176,baked fruit tart,20.95,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02238,Dessert,275
13087920029836,2022-06-01T05:55:27-04:00,4089814286476,#19176,baked fruit tart,13.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02238,Dessert,275
13087920062604,2022-06-01T05:55:27-04:00,4089814286476,#19176,breakfast pastry platter,40.0,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.00724,Breakfast,119
13087920128140,2022-06-01T05:55:27-04:00,4089814286476,#19176,buttertarts,22.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02301,pastry,368
13088180994188,2022-06-01T08:08:35-04:00,4089902530700,#19177,sandwich platter,152.0,Manual,,,Canada,0.0,171.76,0.07236,Catering,272
13088418070668,2022-06-01T08:57:25-04:00,4089942933644,#19178,cookie trays  individually wrapped,56.0,PayPal Payments Standard,,,Canada,0.0,63.28,0.0238,Cookies,176
13088634470540,2022-06-01T09:24:44-04:00,4089973964940,#19179,chocolate buttercake,24.0,Shopify Payments,Mastercard,Standard,Canada,0.0,24.0,0.021,Cakes,595
13088779862156,2022-06-01T09:57:28-04:00,4089998246028,#19180,apple raisin walnut loaf,15.95,Manual,,,Canada,0.0,15.95,0.0,,68
13088820592780,2022-06-01T10:16:00-04:00,4090011058316,#19181,coconut cream pie,17.95,Shopify Payments,Mastercard,Standard,Canada,0.0,37.9,0.02169,pie,462
13088820625548,2022-06-01T10:16:00-04:00,4090011058316,#19181,chocolate chip cookie cake,19.95,Shopify Payments,Mastercard,Standard,Canada,0.0,37.9,0.04705,Cookies,109
13088832192652,2022-06-01T10:22:10-04:00,4090015187084,#19182,6 cupcakes,22.5,Shopify Payments,Visa,Standard,Canada,0.0,22.5,0.05241,Cakes,971
13088843399308,2022-06-01T10:27:50-04:00,4090018955404,#19183,buttertarts,22.5,Shopify Payments,Visa,Standard,Canada,0.0,40.0,0.02301,pastry,368
13088853065868,2022-06-01T10:33:57-04:00,4090022756492,#19184,vanilla buttercake,48.0,Shopify Payments,Mastercard,Standard,Canada,0.0,48.0,0.046,Cakes,1231
13089177108620,2022-06-01T10:58:55-04:00,4090050150540,#19185,carrot cake,48.0,Manual,,,Canada,0.0,48.0,0.04557,Cakes,483
13089384693900,2022-06-01T11:26:38-04:00,4090080985228,#19186,chocolate salted caramel cake,48.0,Shopify Payments,American Express,Premium,Canada,0.0,48.0,0.03214,Cakes,318
13089701658764,2022-06-01T11:45:37-04:00,4090143211660,#19187,chocolate buttercake,24.0,Shopify Payments,Mastercard,Standard,Canada,0.0,24.0,0.021,Cakes,595
13089803010188,2022-06-01T11:54:52-04:00,4090159562892,#19188,chocolate salted caramel cake,48.0,Manual,,,Canada,0.0,48.0,0.03214,Cakes,318
13090672246924,2022-06-01T12:42:03-04:00,4090474922124,#19189,white chocolate cheesecake  choice of fruit,32.0,Shopify Payments,Visa,Standard,Canada,0.0,32.0,0.00806,Cakes,127
13090760327308,2022-06-01T12:55:53-04:00,4090509983884,#19190,6 cupcakes,67.5,Shopify Payments,Visa,Standard,Canada,0.0,229.2,0.05241,Cakes,971
13090760261772,2022-06-01T12:55:53-04:00,4090509983884,#19190,cheese platter,92.0,Shopify Payments,Visa,Standard,Canada,0.0,229.2,0.06422,Catering,108
13090760294540,2022-06-01T12:55:53-04:00,4090509983884,#19190,fruit platter,62.0,Shopify Payments,Visa,Standard,Canada,0.0,229.2,0.07428,Catering,177
13091142762636,2022-06-01T13:33:22-04:00,4090590429324,#19191,coconut cream pie,25.95,Manual,,,Canada,0.0,48.95,0.02169,pie,462
13091142729868,2022-06-01T13:33:22-04:00,4090590429324,#19191,6 peanut butter cookies,23.0,Manual,,,Canada,0.0,48.95,0.00671,Cookies,176
13091178709132,2022-06-01T13:41:22-04:00,4090604126348,#19192,white chocolate cheesecake  choice of fruit,32.0,Shopify Payments,Visa,Standard,Canada,0.0,32.0,0.00806,Cakes,127
13091733930124,2022-06-01T14:23:28-04:00,4090677428364,#19193,chocolate buttercake,59.0,Manual,,,Canada,0.0,59.0,0.021,Cakes,595
13091862184076,2022-06-01T14:58:11-04:00,4090719928460,#19195,chicken pot pie,45.0,Manual,,,Canada,0.0,65.95,0.02407,Savoury,361
13091862216844,2022-06-01T14:58:11-04:00,4090719928460,#19195,guinness  ginger cake,20.95,Manual,,,Canada,0.0,65.95,0.0042,Dessert,439
13091874275468,2022-06-01T15:01:52-04:00,4090724483212,#19196,2lb mac  cheese,22.5,Shopify Payments,Visa,Standard,Canada,0.0,132.45,0.0,Fathers,151
13092045193356,2022-06-01T15:26:10-04:00,4090750173324,#19198,chocolate buttercake,110.0,Shopify Payments,Visa,Standard,Canada,0.0,110.0,0.021,Cakes,595
13092045193356,2022-06-01T15:26:10-04:00,4090750173324,#19198,chocolate buttercake,110.0,Manual,,,Canada,0.0,31.0,0.021,Cakes,595
13092049879180,2022-06-01T15:27:55-04:00,4090751942796,#19199,confetti cake,65.0,Shopify Payments,Visa,Standard,Canada,0.0,65.0,0.0147,Cakes,308
13092050927756,2022-06-01T15:28:16-04:00,4090752368780,#19200,vanilla buttercake,41.0,Manual,,,Canada,0.0,41.0,0.03663,Cakes,1231
13092300882060,2022-06-01T16:27:38-04:00,4090825801868,#19202,chocolate peanut butter cake,48.0,Shopify Payments,Visa,Standard,Canada,0.0,48.0,0.02564,Cakes,179
13092450893964,2022-06-01T17:15:30-04:00,4090873872524,#19203,vegan chocolate cake,55.0,PayPal Payments Standard,,,Canada,0.0,55.0,0.02116,Cakes,222
13092829167756,2022-06-01T18:20:35-04:00,4090945798284,#19204,guinness  ginger cake,20.95,Shopify Payments,Mastercard,Standard,Canada,0.0,20.95,0.0042,Dessert,439
13092957192332,2022-06-01T18:26:56-04:00,4090959659148,#19205,chocolate buttercake,41.0,Shopify Payments,Visa,Standard,Canada,0.0,41.0,0.021,Cakes,595
13092983144588,2022-06-01T18:40:49-04:00,4090968735884,#19206,6 oatmeal raisin cookies,23.0,Shopify Payments,Mastercard,Standard,Canada,0.0,23.0,0.00606,Cookies,99
13093340151948,2022-06-01T19:47:13-04:00,4091024441484,#19207,6 blueberry lemon buns,27.0,Shopify Payments,Visa,Standard,Canada,0.0,134.85,0.05172,Breakfast,66
13093340053644,2022-06-01T19:47:13-04:00,4091024441484,#19207,6 cupcakes,22.5,Shopify Payments,Visa,Standard,Canada,0.0,134.85,0.05241,Cakes,971
13093340217484,2022-06-01T19:47:13-04:00,4091024441484,#19207,breakfast pastry platter,40.0,Shopify Payments,Visa,Standard,Canada,0.0,134.85,0.00724,Breakfast,119
13093340119180,2022-06-01T19:47:13-04:00,4091024441484,#19207,strawberry rhubarb pie,19.95,Shopify Payments,Visa,Standard,Canada,0.0,134.85,0.04,pie,120
13093340184716,2022-06-01T19:47:13-04:00,4091024441484,#19207,italian bread,8.7,Shopify Payments,Visa,Standard,Canada,0.0,134.85,0.02873,Bread,140
13093340086412,2022-06-01T19:47:13-04:00,4091024441484,#19207,6 oatmeal raisin cookies,11.5,Shopify Payments,Visa,Standard,Canada,0.0,134.85,0.00606,Cookies,99
13093484757132,2022-06-01T20:26:37-04:00,4091055177868,#19208,cookie trays  individually wrapped,28.0,Shopify Payments,Mastercard,Standard,Canada,0.0,31.64,0.0238,Cookies,176
13093659377804,2022-06-01T21:54:12-04:00,4091115012236,#19209,confetti cake,65.0,Shopify Payments,Visa,Standard,Canada,0.0,65.0,0.0147,Cakes,308
13093659377804,2022-06-01T21:54:12-04:00,4091115012236,#19209,confetti cake,65.0,Shopify Payments,Visa,Standard,Canada,0.0,5.0,0.0147,Cakes,308
13095284506764,2022-06-02T10:16:18-04:00,4091555741836,#19210,vanilla buttercake,24.0,Shopify Payments,Visa,Standard,Canada,0.0,24.0,0.03663,Cakes,1231
13095294828684,2022-06-02T10:21:28-04:00,4091559379084,#19211,vanilla buttercake,32.0,Shopify Payments,Visa,Standard,Canada,0.0,32.0,0.046,Cakes,1231
13095359447180,2022-06-02T10:51:43-04:00,4091584118924,#19212,trifle cake,32.0,Shopify Payments,American Express,Premium,Canada,0.0,32.0,0.03797,Cakes,494
13095438188684,2022-06-02T11:27:27-04:00,4091612692620,#19213,trifle cake,65.0,Manual,,,Canada,0.0,65.0,0.03797,Cakes,494
13095581909132,2022-06-02T12:34:56-04:00,4091665219724,#19214,vanilla buttercake,65.0,Manual,,,Canada,0.0,65.0,0.046,Cakes,1231
