Sale ID,Date,Order ID,Order,Product,Net sales,Payment type,Credit card,Credit card type,Billing country,Refunds,Net payments,returned_item_rate,product_type,sales_count,Count Per Order
13087920095372,2022-06-01 09:55:27+00:00,4089814286476,#19176,buttertarts,22.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02301,pastry,368,3
13087920160908,2022-06-01 09:55:27+00:00,4089814286476,#19176,buttertarts,22.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02301,pastry,368,3
13087920193676,2022-06-01 09:55:27+00:00,4089814286476,#19176,baked fruit tart,20.95,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02238,pie,275,2
13087920029836,2022-06-01 09:55:27+00:00,4089814286476,#19176,baked fruit tart,13.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02238,pie,275,2
13087920062604,2022-06-01 09:55:27+00:00,4089814286476,#19176,breakfast pastry platter,40.0,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.00724,breakfast,119,1
13087920128140,2022-06-01 09:55:27+00:00,4089814286476,#19176,buttertarts,22.5,Shopify Payments,Mastercard,Standard,Canada,0.0,147.15,0.02301,pastry,368,3
13088180994188,2022-06-01 12:08:35+00:00,4089902530700,#19177,sandwich platter,152.0,Manual,Manual,Manual,Canada,0.0,171.76,0.07236,catering,272,1
13088418070668,2022-06-01 12:57:25+00:00,4089942933644,#19178,cookie trays  individually wrapped,56.0,PayPal Payments Standard,PayPal,PayPal,Canada,0.0,63.28,0.0238,cookies,176,1
13088634470540,2022-06-01 13:24:44+00:00,4089973964940,#19179,chocolate buttercake,24.0,Shopify Payments,Mastercard,Standard,Canada,0.0,24.0,0.021,cakes,595,1
13088779862156,2022-06-01 13:57:28+00:00,4089998246028,#19180,apple raisin walnut loaf,15.95,Manual,Manual,Manual,Canada,0.0,15.95,0.0,loaf,68,1
13088820592780,2022-06-01 14:16:00+00:00,4090011058316,#19181,coconut cream pie,17.95,Shopify Payments,Mastercard,Standard,Canada,0.0,37.9,0.02169,pie,462,1
13088820625548,2022-06-01 14:16:00+00:00,4090011058316,#19181,chocolate chip cookie cake,19.95,Shopify Payments,Mastercard,Standard,Canada,0.0,37.9,0.04705,cakes,109,1
13088832192652,2022-06-01 14:22:10+00:00,4090015187084,#19182,6 cupcakes,22.5,Shopify Payments,Visa,Standard,Canada,0.0,22.5,0.05241,cakes,971,1
13088843399308,2022-06-01 14:27:50+00:00,4090018955404,#19183,buttertarts,22.5,Shopify Payments,Visa,Standard,Canada,0.0,40.0,0.02301,pastry,368,1
13088853065868,2022-06-01 14:33:57+00:00,4090022756492,#19184,vanilla buttercake,48.0,Shopify Payments,Mastercard,Standard,Canada,0.0,48.0,0.046,cakes,1231,1
13089177108620,2022-06-01 14:58:55+00:00,4090050150540,#19185,carrot cake,48.0,Manual,Manual,Manual,Canada,0.0,48.0,0.04557,cakes,483,1
13089384693900,2022-06-01 15:26:38+00:00,4090080985228,#19186,chocolate salted caramel cake,48.0,Shopify Payments,American Express,Premium,Canada,0.0,48.0,0.03214,cakes,318,1
13089701658764,2022-06-01 15:45:37+00:00,4090143211660,#19187,chocolate buttercake,24.0,Shopify Payments,Mastercard,Standard,Canada,0.0,24.0,0.021,cakes,595,1
13089803010188,2022-06-01 15:54:52+00:00,4090159562892,#19188,chocolate salted caramel cake,48.0,Manual,Manual,Manual,Canada,0.0,48.0,0.03214,cakes,318,1
13090672246924,2022-06-01 16:42:03+00:00,4090474922124,#19189,white chocolate cheesecake  choice of fruit,32.0,Shopify Payments,Visa,Standard,Canada,0.0,32.0,0.00806,cakes,127,1
13090760327308,2022-06-01 16:55:53+00:00,4090509983884,#19190,6 cupcakes,67.5,Shopify Payments,Visa,Standard,Canada,0.0,229.2,0.05241,cakes,971,1
13090760261772,2022-06-01 16:55:53+00:00,4090509983884,#19190,cheese platter,92.0,Shopify Payments,Visa,Standard,Canada,0.0,229.2,0.06422,catering,108,1
13090760294540,2022-06-01 16:55:53+00:00,4090509983884,#19190,fruit platter,62.0,Shopify Payments,Visa,Standard,Canada,0.0,229.2,0.07428,catering,177,1
13091142762636,2022-06-01 17:33:22+00:00,4090590429324,#19191,coconut cream pie,25.95,Manual,Manual,Manual,Canada,0.0,48.95,0.02169,pie,462,1
13091142729868,2022-06-01 17:33:22+00:00,4090590429324,#19191,6 peanut butter cookies,23.0,Manual,Manual,Manual,Canada,0.0,48.95,0.00671,cookies,176,1
13091178709132,2022-06-01 17:41:22+00:00,4090604126348,#19192,white chocolate cheesecake  choice of fruit,32.0,Shopify Payments,Visa,Standard,Canada,0.0,32.0,0.00806,cakes,127,1
13091733930124,2022-06-01 18:23:28+00:00,4090677428364,#19193,chocolate buttercake,59.0,Manual,Manual,Manual,Canada,0.0,59.0,0.021,cakes,595,1
13091862184076,2022-06-01 18:58:11+00:00,4090719928460,#19195,chicken pot pie,45.0,Manual,Manual,Manual,Canada,0.0,65.95,0.02407,savoury,361,1
13091862216844,2022-06-01 18:58:11+00:00,4090719928460,#19195,guinness  ginger cake,20.95,Manual,Manual,Manual,Canada,0.0,65.95,0.0042,pastry,439,1
13091874275468,2022-06-01 19:01:52+00:00,4090724483212,#19196,2lb mac  cheese,22.5,Shopify Payments,Visa,Standard,Canada,0.0,132.45,0.0,savoury,151,1
13092045193356,2022-06-01 19:26:10+00:00,4090750173324,#19198,chocolate buttercake,110.0,Shopify Payments,Visa,Standard,Canada,0.0,110.0,0.021,cakes,595,2
