product_title,ordered_item_quantity,returned_item_quantity_abs,returned_item_rate
Assorted Holiday Cookies,1116,20,0.01792
6 Cupcakes,954,50,0.05241
Lunch Box - Individual,775,3,0.00387
Quiche,757,18,0.02377
Pumpkin Pie,745,14,0.01879
Sourdough Bread,592,5,0.00844
Dinner Rolls - 1 Dozen,559,29,0.05187
Vanilla Buttercake with Raspberry Buttercream,546,20,0.03663
Apple Pie,523,9,0.0172
Chocolate Buttercake,476,10,0.021
Guinness & Ginger Cake,476,2,0.0042
Coconut Cream Pie,461,10,0.02169
Multigrain Sourdough,461,2,0.00433
Chicken Pot Pie,457,11,0.02407
Vanilla Buttercake,413,19,0.046
Trifle Cake,395,15,0.03797
Buttertarts,391,9,0.02301
Carrot Cake,373,17,0.04557
Whole Wheat Bread,370,7,0.01891
Chocolate Raspberry Mousse Cake,360,11,0.03055
Tourtiere,348,9,0.02586
Raspberry Pie,338,8,0.02366
Dinner Rolls,325,5,0.01538
Sandwich Platter,304,22,0.07236
6 Ginger Molasses Cookies,298,14,0.04697
Lemon Meringue Pie,290,3,0.01034
Chocolate Mousse Cake,282,8,0.02836
Chocolate Salted Caramel Cake,280,9,0.03214
Confetti Cake,272,4,0.0147
Baked Fruit Tart,268,6,0.02238
Pulla Bread,251,4,0.01593
Apple Crumble Pie,242,4,0.01652
24 Piece Square Tray,236,13,0.05508
White Bread,234,2,0.00854
6 Macarons,233,23,0.09871
Lemon Poppyseed Loaf,232,0,0
6 Chocolate Chunk Cookies,223,2,0.00896
Scottish Shortbread,223,4,0.01793
Cherry Pie,222,5,0.02252
Sausage Rolls - 1 Dozen,222,9,0.04054
Caramel Chocolate Chunk Cheesecake,221,10,0.04524
Crudité Platter,218,11,0.05045
Blueberry Pie,209,10,0.04784
Mincemeat Tarts - Pkg of 6,208,2,0.00961
6 Hot Cross Buns,206,2,0.0097
Caramelized Onion & Gruyere Tarts - 1 Dozen,203,4,0.0197
Oatcakes - 2 per package,200,0,0
Bailey's & Coffee Cake,195,8,0.04102
Brownie Cobbler,194,0,0
Vegan Chocolate Cake,189,4,0.02116
6 Sprinkle Shortbread,185,1,0.0054
6 White Chocolate Cranberry Scones,176,3,0.01704
Fruit Platter,175,13,0.07428
Italian Bread,174,5,0.02873
Charcuterie Board,173,7,0.04046
Brunch Box - Individual,171,16,0.09356
6 Oatmeal Raisin Cookies,165,1,0.00606
Mac & Cheese,163,9,0.05521
Chocolate Yule Log,158,5,0.03164
Chocolate Peanut Butter Cake,156,4,0.02564
Banana Bread,156,1,0.00641
Cookie Trays,152,9,0.05921
