product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Quiche,Bread & Butter Bakery and Fine Pastries,savoury,750,21954.000,-288.180,-537.000,21128.820,0.000,21128.820
6 Cupcakes,Bread & Butter,Cakes,909,22153.500,-232.880,-1149.000,20771.620,0.000,20771.620
Sandwich Platter,Bread & Butter Bakery and Fine Pastries,Catering,288,21305.000,-291.610,-1663.000,19350.390,1226.600,20576.990
Vanilla Buttercake with Raspberry Buttercream,Bread & Butter Bakery and Fine Pastries,Cakes,536,19236.000,-65.000,-580.000,18591.000,0.000,18591.000
Assorted Holiday Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,1105,18586.500,-170.040,-289.100,18127.360,0.000,18127.360
Vanilla Buttercake,Bread & Butter Bakery and Fine Pastries,Cakes,400,18958.000,-48.000,-810.000,18100.000,0.000,18100.000
Trifle Cake,Bread & Butter Bakery and Fine Pastries,Cakes,389,17283.000,-18.200,-595.000,16669.800,0.000,16669.800
Chocolate Buttercake,Bread & Butter Bakery and Fine Pastries,Cakes,474,16571.000,-95.900,-349.500,16125.600,0.000,16125.600
Carrot Cake,Bread & Butter Bakery and Fine Pastries,Cakes,360,15808.000,-27.000,-646.000,15135.000,0.000,15135.000
Chicken Pot Pie,Bread & Butter Bakery and Fine Pastries,Savoury,449,15212.400,-172.720,-328.500,14711.180,0.000,14711.180
Chocolate Raspberry Mousse Cake,Bread & Butter Bakery and Fine Pastries,Cakes,351,14994.000,-27.000,-423.000,14544.000,0.000,14544.000
Lunch Box - Individual,Bread & Butter Bakery and Fine Pastries,Catering,788,12590.000,-180.100,-49.000,12360.900,1600.520,13961.420
Pumpkin Pie,Bread & Butter Bakery and Fine Pastries,pie,738,13813.000,-453.480,-256.850,13102.670,216.770,13319.440
Apple Pie,Bread & Butter Bakery and Fine Pastries,pie,524,12655.600,-473.120,-250.550,11931.930,10.770,11942.700
Chocolate Mousse Cake,Bread & Butter Bakery and Fine Pastries,Cakes,278,11898.000,-19.480,-346.000,11532.520,0.000,11532.520
5 Course Valentine's Day Dinner for 2,Bread & Butter Bakery and Fine Pastries,valentines,83,10625.000,-250.000,-250.000,10125.000,1316.250,11441.250
Chocolate Salted Caramel Cake,Bread & Butter Bakery and Fine Pastries,Cakes,272,11840.000,-81.200,-379.000,11379.800,0.000,11379.800
Confetti Cake,Bread & Butter Bakery and Fine Pastries,Cakes,269,11429.000,-15.200,-196.000,11217.800,0.000,11217.800
24 Piece Square Tray,Bread & Butter Bakery and Fine Pastries,Catering,222,10314.000,-187.000,-567.000,9560.000,1212.820,10772.820
Tourtiere,Bread & Butter Bakery and Fine Pastries,Savoury,345,11062.300,0.000,-297.550,10764.750,0.000,10764.750
Buttertarts,Bread & Butter Bakery and Fine Pastries,pastry,390,11340.000,-305.990,-292.500,10741.510,0.000,10741.510
Caramel Chocolate Chunk Cheesecake,Bread & Butter Bakery and Fine Pastries,cake,219,10844.000,-25.700,-499.000,10319.300,0.000,10319.300
New Year's Eve 5 Course Dinner for 2,Bread & Butter Bakery and Fine Pastries,Gourmet,97,10400.000,-600.000,-700.000,9100.000,1170.000,10270.000
Guinness & Ginger Cake,Bread & Butter Bakery and Fine Pastries,Dessert,476,10214.100,-2.200,-41.900,10170.000,0.000,10170.000
Coconut Cream Pie,Bread & Butter Bakery and Fine Pastries,pie,457,9552.050,-128.650,-186.500,9236.900,19.340,9256.240
Cookie Trays,Bread & Butter Bakery and Fine Pastries,Cookies,145,8553.000,-196.000,-532.000,7825.000,721.970,8546.970
Breakfast Pastry Platter,Bread & Butter Bakery and Fine Pastries,Breakfast,137,7764.000,-124.800,-40.000,7599.200,947.260,8546.460
Raspberry Pie,Bread & Butter Bakery and Fine Pastries,pie,334,8850.950,-202.000,-220.600,8428.350,6.680,8435.030
Fruit Platter,Bread & Butter Bakery and Fine Pastries,Catering,163,8244.000,-231.200,-690.000,7322.800,937.440,8260.240
Vegan Chocolate Cake,Bread & Butter Bakery and Fine Pastries,Cakes,188,8365.000,0.000,-178.000,8187.000,0.000,8187.000
Breakfast Pastry Selection,Bread & Butter Bakery and Fine Pastries,Breakfast,134,7948.000,-48.800,-867.200,7032.000,900.080,7932.080
Bailey's & Coffee Cake,Bread & Butter Bakery and Fine Pastries,Cakes,190,7972.000,-87.000,-344.000,7541.000,0.000,7541.000
Crudité Platter,Bread & Butter Bakery and Fine Pastries,Catering,212,7082.000,-263.050,-334.000,6484.950,822.400,7307.350
Holiday Baked Goods Gift Box,Bread & Butter Bakery and Fine Pastries,Holiday,114,6375.000,0.000,-55.000,6320.000,810.050,7130.050
Cheese Platter,Bread & Butter Bakery and Fine Pastries,Catering,102,7300.000,-762.400,-468.000,6069.600,781.690,6851.290
Thanksgiving Dinner for 2,Bread & Butter Bakery and Fine Pastries,Gourmet,88,6560.000,0.000,-210.000,6350.000,309.400,6659.400
Chocolate Peanut Butter Cake,Bread & Butter Bakery and Fine Pastries,Cakes,155,6336.000,-16.800,-154.000,6165.200,0.000,6165.200
Baked Goods Gift Box,Bread & Butter Bakery and Fine Pastries,Cookies,113,5520.000,0.000,-96.000,5424.000,697.440,6121.440
Jam Filled Layer Cake,Bread & Butter Bakery and Fine Pastries,,135,5832.000,0.000,-160.000,5672.000,0.000,5672.000
Copy of Vanilla Buttercake,Bread & Butter Bakery and Fine Pastries,Cakes,57,5959.000,-166.840,-154.000,5638.160,0.000,5638.160
Apple Crumble Pie,Bread & Butter Bakery and Fine Pastries,pie,240,6257.850,-554.850,-124.800,5578.200,6.680,5584.880
Payment for Party,,,5,5574.250,0.000,0.000,5574.250,0.000,5574.250
Lemon Meringue Pie,Bread & Butter Bakery and Fine Pastries,holiday,288,5785.450,-182.290,-61.850,5541.310,0.000,5541.310
White Chocolate Cheesecake - Choice of Fruit,Bread & Butter Bakery and Fine Pastries,Cakes,125,5539.000,-36.800,-48.000,5454.200,0.000,5454.200
Baked Fruit Tart,Bread & Butter Bakery and Fine Pastries,Dessert,264,5390.500,-36.200,-102.800,5251.500,0.000,5251.500
Vanilla Vegan Cake,Bread & Butter Bakery and Fine Pastries,Cakes,123,5365.000,-41.000,-169.000,5155.000,0.000,5155.000
Lemon Layer Cake,Bread & Butter Bakery and Fine Pastries,Cakes,122,5101.000,-13.400,-70.000,5017.600,0.000,5017.600
Chocolate Yule Log,Bread & Butter Bakery and Fine Pastries,Cakes,154,5088.000,-6.400,-160.000,4921.600,0.000,4921.600
Sourdough Bread,Bread & Butter Bakery and Fine Pastries,Bread,590,4737.350,-60.450,-36.400,4640.500,0.000,4640.500
Mincemeat Tarts - Pkg of 6,Bread & Butter Bakery and Fine Pastries,pastry,207,4702.500,-45.000,-45.000,4612.500,0.000,4612.500
Blueberry Pie,Bread & Butter Bakery and Fine Pastries,pie,204,4516.650,-140.440,-189.150,4187.060,10.180,4197.240
St. Patrick's Day Three Course Dinner for Two,Bread & Butter Bakery and Fine Pastries,,67,4100.000,-65.000,-65.000,3970.000,221.650,4191.650
Copy of Trifle Cake,Bread & Butter Bakery and Fine Pastries,Cakes,47,4348.000,-157.400,0.000,4190.600,0.000,4190.600
Chocolate Cherry Cake,Bread & Butter Bakery and Fine Pastries,,103,4175.000,-67.200,0.000,4107.800,0.000,4107.800
Plain Cheesecake with Choice of Topping,Bread & Butter Bakery and Fine Pastries,Cakes,86,4190.000,-68.000,-72.000,4050.000,0.000,4050.000
6 White Chocolate Cranberry Scones,Bread & Butter Bakery and Fine Pastries,scones,173,4106.250,-2.250,-77.250,4026.750,0.000,4026.750
Charcuterie Board,Bread & Butter Bakery and Fine Pastries,Savoury,166,3919.000,0.000,-147.000,3772.000,139.360,3911.360
Cherry Pie,Bread & Butter Bakery and Fine Pastries,pie,218,4393.450,-416.840,-94.750,3881.860,11.750,3893.610
Lemon Cheesecake,Bread & Butter Bakery and Fine Pastries,Cakes,91,4074.000,-6.400,-180.000,3887.600,0.000,3887.600
Chocolate Cream Pie,Bread & Butter Bakery and Fine Pastries,pie,147,4203.500,-276.450,-84.850,3842.200,0.000,3842.200
Easter Dinner for 2,Bread & Butter Bakery and Fine Pastries,Gourmet,41,3580.000,-85.000,-160.000,3335.000,420.750,3755.750
6 Macarons,Bread & Butter Bakery and Fine Pastries,Cookies,212,4252.000,-123.900,-422.100,3706.000,0.000,3706.000
Sausage Rolls - 1 Dozen,Bread & Butter Bakery and Fine Pastries,Savoury,214,3902.500,-164.500,-157.500,3580.500,0.000,3580.500
Dinner Rolls - 1 Dozen,Bread & Butter Bakery and Fine Pastries,Bread,535,3886.500,-383.640,-96.850,3406.010,0.000,3406.010
Multigrain Sourdough,Bread & Butter Bakery and Fine Pastries,Bread,461,3410.000,-4.350,-13.300,3392.350,0.000,3392.350
Mushroom Wellington -Vegetarian,Bread & Butter Bakery and Fine Pastries,,131,3430.000,0.000,-52.000,3378.000,0.000,3378.000
6 Croissants,Bread & Butter Bakery and Fine Pastries,Breakfast,136,3446.100,0.000,-94.800,3351.300,0.000,3351.300
Lemon Poppyseed Loaf,Bread & Butter Bakery and Fine Pastries,loaf,233,3357.350,-16.950,0.000,3340.400,0.000,3340.400
Caramelized Onion & Gruyere Tarts - 1 Dozen,Bread & Butter Bakery and Fine Pastries,Savoury,199,3552.500,-154.000,-70.000,3328.500,0.000,3328.500
Copy of Vanilla Buttercake with Raspberry Buttercream,Bread & Butter Bakery and Fine Pastries,Cakes,41,3594.000,-199.000,-348.000,3047.000,0.000,3047.000
