product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Sandwich Platter,Large,,215,18236.000,-285.600,-1580.000,16370.400,1021.390,17391.790
Vanilla Buttercake with Raspberry Buttercream,"8"" Serves 8-10",,291,12539.000,0.000,-172.000,12367.000,0.000,12367.000
6 Cupcakes,Chocolate,,492,11953.000,-146.250,-597.000,11209.750,0.000,11209.750
Vanilla Buttercake,"8"" Serves 8-10",,225,11720.000,-48.000,-548.000,11124.000,0.000,11124.000
Chicken Pot Pie,Large,,225,11346.000,-172.720,-237.000,10936.280,0.000,10936.280
24 Piece Square Tray,,,224,10392.000,-187.000,-567.000,9638.000,1217.890,10855.890
New Year's Eve 5 Course Dinner for 2,,,97,10400.000,-600.000,-700.000,9100.000,1170.000,10270.000
Guinness & Ginger Cake,,,476,10214.100,-2.200,-41.900,10170.000,0.000,10170.000
Carrot Cake,"8"" Serves 8-10",,195,9872.000,-20.000,-244.000,9608.000,0.000,9608.000
Assorted Holiday Cookies,1 Dozen,,745,9857.900,-78.090,-219.150,9560.660,0.000,9560.660
Chocolate Buttercake,"8"" Serves 8-10",,213,9279.000,-22.500,-253.500,9003.000,0.000,9003.000
Assorted Holiday Cookies,2 Dozen,,360,8728.600,-91.950,-69.950,8566.700,0.000,8566.700
Pumpkin Pie,"9""",,364,8371.350,-92.090,-201.550,8077.710,114.080,8191.790
Lunch Box - Individual,Chicken with Smoked Gouda and Chive Aioli on Italian,,401,6432.000,-4.800,-16.000,6411.200,828.340,7239.540
Chocolate Salted Caramel Cake,"8"" Serves 8-10",,147,7524.000,-81.200,-248.000,7194.800,0.000,7194.800
Chocolate Mousse Cake,"8"" Serves 8-10",,141,7244.000,-19.480,-244.000,6980.520,0.000,6980.520
Holiday Baked Goods Gift Box,Small,,112,6215.000,0.000,-55.000,6160.000,789.250,6949.250
Thanksgiving Dinner for 2,,,88,6560.000,0.000,-210.000,6350.000,309.400,6659.400
Confetti Cake,"8"" Serves 8-10",,133,6676.000,-15.200,-96.000,6564.800,0.000,6564.800
Apple Pie,"9""",,220,6726.650,-6.380,-207.650,6512.620,0.000,6512.620
Chocolate Buttercake,"6"" Serves 4-6",,254,6604.000,-8.400,-96.000,6499.600,0.000,6499.600
6 Cupcakes,Vanilla,20,271,6758.000,-2.250,-394.500,6361.250,0.000,6361.250
Vanilla Buttercake with Raspberry Buttercream,"6"" Serves 4-6",,244,6632.000,0.000,-408.000,6224.000,0.000,6224.000
Tourtiere,"9""",,170,6447.150,0.000,-244.650,6202.500,0.000,6202.500
Baked Goods Gift Box,,,114,5520.100,0.000,-96.000,5424.100,697.450,6121.550
Chocolate Raspberry Mousse Cake,"6"" Serves 4-6",,174,6014.000,-16.600,-227.000,5770.400,0.000,5770.400
5 Course Valentine's Day Dinner for 2,2 Coq au Vin,,40,5125.000,0.000,-125.000,5000.000,650.000,5650.000
Payment for Party,,,5,5574.250,0.000,0.000,5574.250,0.000,5574.250
Vanilla Buttercake,"6"" Serves 4-6",,168,5803.000,0.000,-262.000,5541.000,0.000,5541.000
Caramel Chocolate Chunk Cheesecake,"8"" (Serves 8-10)",,108,5788.000,-19.200,-254.000,5514.800,0.000,5514.800
Breakfast Pastry Platter,Large,,69,4968.000,-64.800,0.000,4903.200,599.980,5503.180
Carrot Cake,"6"" Serves 4-6",,164,5866.000,-7.000,-402.000,5457.000,0.000,5457.000
Trifle Cake,"8"" / Whipped Cream",,106,5440.000,-4.800,-148.000,5287.200,0.000,5287.200
Chocolate Raspberry Mousse Cake,"8"" Serves 8-10",,108,5340.000,0.000,-144.000,5196.000,0.000,5196.000
Apple Pie,"8""",,270,5684.400,-466.740,-42.900,5174.760,0.000,5174.760
Fruit Platter,Large,,75,5208.000,-99.200,-558.000,4550.800,586.650,5137.450
Coconut Cream Pie,"9""",,189,5188.300,0.000,-129.750,5058.550,0.000,5058.550
Chocolate Yule Log,Small,,154,5088.000,-6.400,-160.000,4921.600,0.000,4921.600
Trifle Cake,"8"" / Buttercream",,98,4992.000,0.000,-144.000,4848.000,0.000,4848.000
Raspberry Pie,"8""",,203,4998.600,-198.600,-120.750,4679.250,0.000,4679.250
Mincemeat Tarts - Pkg of 6,,,207,4702.500,-45.000,-45.000,4612.500,0.000,4612.500
Breakfast Pastry Selection,Large,,60,4828.000,-40.800,-707.200,4080.000,519.520,4599.520
Pumpkin Pie,"8""",,307,4937.550,-361.390,-33.900,4542.260,40.840,4583.100
Tourtiere,"8""",,175,4615.150,0.000,-52.900,4562.250,0.000,4562.250
Chocolate Mousse Cake,"6"" Serves 4-6",,137,4654.000,0.000,-102.000,4552.000,0.000,4552.000
Vegan Chocolate Cake,"8"" Serves 8-10",,80,4510.000,0.000,-110.000,4400.000,0.000,4400.000
Confetti Cake,"6"" Serves 4-6",,132,4418.000,0.000,-35.000,4383.000,0.000,4383.000
Crudité Platter,Large,,108,4344.000,-165.600,-288.000,3890.400,490.630,4381.030
St. Patrick's Day Three Course Dinner for Two,,,67,4100.000,-65.000,-65.000,3970.000,221.650,4191.650
Chocolate Salted Caramel Cake,"6"" Serves 4-6",,124,4246.000,0.000,-131.000,4115.000,0.000,4115.000
6 White Chocolate Cranberry Scones,,,173,4106.250,-2.250,-77.250,4026.750,0.000,4026.750
Bailey's & Coffee Cake,"8"" Serves 8-10",,82,4300.000,-57.600,-248.000,3994.400,0.000,3994.400
Cheese Platter,Large,,44,4324.000,-570.400,-276.000,3477.600,444.730,3922.330
Chicken Pot Pie,Small,,224,3866.400,0.000,-91.500,3774.900,0.000,3774.900
Coconut Cream Pie,"8""",,202,3868.800,-128.650,-35.900,3704.250,0.000,3704.250
Vegan Chocolate Cake,"6"" Serves 4-6",,107,3770.000,0.000,-68.000,3702.000,0.000,3702.000
Jam Filled Layer Cake,"8"" Serves 8-10",,73,3712.000,0.000,-96.000,3616.000,0.000,3616.000
Sausage Rolls - 1 Dozen,1 Dozen,,214,3902.500,-164.500,-157.500,3580.500,0.000,3580.500
Chocolate Raspberry Mousse Cake,"8"" Serves 8-10",1,69,3640.000,-10.400,-52.000,3577.600,0.000,3577.600
Quiche,"Lorraine / 9""",,108,3850.000,-141.100,-140.000,3568.900,0.000,3568.900
Bailey's & Coffee Cake,"6"" Serves 4-6",,108,3672.000,-29.400,-96.000,3546.600,0.000,3546.600
Raspberry Pie,"9""",,105,3613.600,-3.400,-99.850,3510.350,0.000,3510.350
Quiche,"Tomato Spinach Feta / 8""",,140,3450.000,-2.350,0.000,3447.650,0.000,3447.650
Dinner Rolls - 1 Dozen,White,,535,3886.500,-383.640,-96.850,3406.010,0.000,3406.010
Mushroom Wellington -Vegetarian,,,131,3430.000,0.000,-52.000,3378.000,0.000,3378.000
Lemon Poppyseed Loaf,,,233,3357.350,-16.950,0.000,3340.400,0.000,3340.400
Breakfast Pastry Selection,Small,,74,3120.000,-8.000,-160.000,2952.000,380.560,3332.560
Caramelized Onion & Gruyere Tarts - 1 Dozen,1 Dozen,,199,3552.500,-154.000,-70.000,3328.500,0.000,3328.500
Quiche,"Lorraine / 8""",,131,3357.000,0.000,-70.500,3286.500,0.000,3286.500
Cookie Trays,4 Dozen- Individually Wrapped,,34,3260.000,0.000,-276.000,2984.000,245.960,3229.960
Sandwich Platter,Small,,73,3069.000,-6.010,-83.000,2979.990,205.210,3185.200
6 Cupcakes,Vanilla,,144,3397.500,-84.380,-157.500,3155.620,0.000,3155.620
Lemon Meringue Pie,"9""",,137,3199.050,-4.790,-45.900,3148.360,0.000,3148.360
Fruit Platter,Small,,88,3036.000,-132.000,-132.000,2772.000,350.790,3122.790
Caramel Chocolate Chunk Cheesecake,"6""(Serves 4-6)",,87,3232.000,0.000,-112.000,3120.000,0.000,3120.000
